codigo_onibus,placa,linha,latitude,longitude,velocidade,sentido,trajeto,hodometro,datahoracoleta,dataposicao,horaposicao
901008,,22,-23.006676,-43.312581,12.8,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],22999.2,2023-07-26 19:56:18,2023-07-26,19:00:24
901011,RIV8A74,40,-23.001446,-43.367829,21.6,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],23676.8,2023-07-26 19:56:18,2023-07-26,19:56:11
901018,,51,-23.000075,-43.356425,48.3,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],2502.1,2023-07-26 19:56:18,2023-07-24,17:24:22
901012,,52,-22.96143,-43.392166,53.9,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],21443.0,2023-07-26 19:56:18,2023-07-26,18:59:18
901014,,52,-22.875495,-43.405591,25.7,volta,52 - SENTIDO V. MILITAR (PARADOR) [VOLTA],35794.7,2023-07-26 19:56:18,2023-07-26,19:56:12
901007,,22,-22.965021,-43.39128,0.0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],21891.7,2023-07-26 19:56:18,2023-07-26,17:59:44
901009,,40,-22.877523,-43.336955,6.0,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],21060.8,2023-07-26 19:56:18,2023-07-26,19:56:13
901013,,22,-23.000081,-43.352395,0.0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],31752.2,2023-07-26 19:56:18,2023-07-26,19:54:10
901010,RJM8G30,22,-23.000741,-43.333356,40.5,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],23018.2,2023-07-26 19:56:18,2023-07-26,19:55:58
901015,,51,-22.965325,-43.391704,0.0,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],14155.3,2023-07-26 19:56:18,2023-07-26,19:15:13
901047,,0,-22.964836,-43.391920999999996,0.0,,,45440.7,2023-07-26 19:56:18,2023-07-26,18:40:51
901017,,22,-22.965521,-43.390564,21.4,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],25275.6,2023-07-26 19:56:18,2023-07-26,19:56:11
901063,,51,-22.965279,-43.391226,0.0,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],48950.9,2023-07-26 19:56:18,2023-07-26,18:46:51
901006,RJA9F56,22,-23.001158,-43.329358,9.9,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],19586.9,2023-07-26 19:56:18,2023-07-26,18:59:45
901005,RJB8E53,22,-23.000187,-43.366901,17.3,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],21883.9,2023-07-26 19:56:18,2023-07-26,19:55:19
901004,RJQ8J80,22,-23.005933,-43.317492,58.6,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],21644.7,2023-07-26 19:56:18,2023-07-26,19:04:55
902095,,35,-22.841312,-43.253516,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],7511.6,2023-07-26 19:56:18,2023-07-26,18:15:54
30504,,25,-23.008545,-43.444423,28.5,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],53920.1,2023-07-26 19:56:18,2023-07-26,19:56:04
47031,KYW5240,12,-23.000928,-43.364867,0.0,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],51114.9,2023-07-26 19:56:18,2023-07-26,19:56:04
30533,KWO8120,0,-22.920234999999998,-43.608082,0.0,,,52733.1,2023-07-26 19:56:18,2023-07-26,18:16:07
47027,KRR2119,20,-22.933893,-43.669347,53.7,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],1004.1,2023-07-26 19:56:18,2023-07-18,18:10:15
86840,KOS9769,13,-22.919551,-43.607877,0.0,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],778.8,2023-07-26 19:56:18,2023-04-21,02:01:35
30538,KXE7719,13,-23.013496,-43.462784,0.0,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],56179.6,2023-07-26 19:56:18,2023-07-26,19:56:13
13412,KPY9734,0,-22.965162,-43.391705,0.0,,,44901.0,2023-07-26 19:56:18,2023-07-26,19:16:51
50309,KPN6B05,25,-23.019753,-43.50323,40.1,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],20263.2,2023-07-26 19:56:18,2023-07-26,19:04:35
12702,KXB8152,25,-22.919625,-43.608713,0.0,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],27817.4,2023-07-26 19:56:18,2023-07-04,23:11:48
12706,KXB8938,10,-22.920521,-43.607432,0.0,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),4060.2,2023-07-26 19:56:18,2023-03-31,08:02:04
47025,KXE8652,13,-22.919881,-43.607336,0.0,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],38341.5,2023-07-26 19:56:18,2023-07-07,14:18:49
30532,KYL8599,25,-22.992393,-43.598565,0.0,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],42053.8,2023-07-26 19:56:18,2023-07-26,19:44:42
13423,LSI5976,18,-23.015262,-43.470531,0.0,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],41386.8,2023-07-26 19:56:18,2023-07-26,19:56:00
13403,LTF5447,10,-23.019565,-43.504453,38.4,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],53571.1,2023-07-26 19:56:18,2023-07-26,19:56:08
90002,LMB2D92,20,-22.998192,-43.58801,28.7,volta,20 - SALVADOR ALLENDE X SANTA CRUZ (EXPRESSO) [VOLTA],56165.4,2023-07-26 19:56:18,2023-07-26,19:55:59
47030,LSQ5263,18,-22.929586,-43.65527,43.3,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],54038.6,2023-07-26 19:56:18,2023-07-26,19:56:15
30519,LRE9804,20,-22.993881,-43.595974,0.0,volta,20 - SALVADOR ALLENDE X SANTA CRUZ (EXPRESSO) [VOLTA],51712.6,2023-07-26 19:56:18,2023-07-26,19:56:14
44732,LSG9592,19,-23.012419,-43.458604,0.0,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],38000.2,2023-07-26 19:56:18,2023-07-26,19:56:00
13409,KPY9733,10,-22.915786,-43.628365,0.0,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),22420.5,2023-07-26 19:56:18,2023-04-26,21:10:13
13424,KRL4069,11,-22.918853,-43.607502,0.0,ida,11 - SANTA CRUZ X ALVORADA (PARADOR),2305.6,2023-07-26 19:56:18,2023-07-26,19:56:09
90005,KWK6A89,20,-23.008273,-43.443404,0.0,volta,20 - SALVADOR ALLENDE X SANTA CRUZ (EXPRESSO) [VOLTA],50146.9,2023-07-26 19:56:18,2023-07-26,19:55:59
86851,KQO8674,29,-22.943557,-43.661133,45.7,volta,29 - ALVORADA X S. ALLENDE (PARADOR) [VOLTA],13066.3,2023-07-26 19:56:18,2023-07-26,19:55:30
86875,KQB4103,18,-23.00665,-43.312202,25.7,volta,18 - JARDIM OCEÂNICO X RECREIO SHOPPING (EXPRESSO) [VOLTA],13227.8,2023-07-26 19:56:18,2023-07-26,19:55:59
30518,KYL8597,0,-23.002187,-43.421518,59.7,,,37313.8,2023-07-26 19:56:18,2023-07-26,19:56:08
12707,LMI8079,12,-22.919866,-43.607431,0.0,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],4853.2,2023-07-26 19:56:18,2023-05-20,05:02:01
902090,,35,-23.000735,-43.366218,0.0,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],15219.1,2023-07-26 19:56:18,2023-07-26,19:33:32
